epoch,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_id
283,0,915154818803,3.931558916779138e-05,6,0,0,pool1e6chrtr2p5ycvppuye3x82ytp84ycw0pes6zmkw972upz3g8wms
283,0,913443909578,3.9242087501394146e-05,10,0,0,pool1lhwzsyhh7dmw9wuz7qxnml2z5ef5303lp7jxgss2qnat22sprgx
283,2,913129151054,3.9228565290111e-05,26,1448404203,356626063,pool1r8zkh6zns7rtpvwa466qf8a0dgqd7r9zmu27qkcyw25xv46y97s
283,0,909607549452,3.9077275214429634e-05,41,0,0,pool18jrsaddmrwtrdycydmk3zv0fxawnv0q8xh7f6fyp2r247zz9tc5
283,0,9093808801,3.906753736577599e-07,2,0,0,pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5
283,0,909217505,3.906051867540811e-08,4,0,0,pool164g26r07tugjhpvj94n6v29gtrg4pu6pjcyf6lq4j670u990ztk
283,0,908052857800,3.901048474683141e-05,263,0,0,pool1c0xj2fa97zuz4phld87atg6yphz3hju409fm5xgnwuuvqww25qj
283,0,90715548425,3.8971933051427576e-06,4,0,0,pool1f5zye57nw6nsrczkkzkpd8avayar7j48zjw5pu2e5k38ssm2yhd
283,1,906779708562,3.895578950689816e-05,49,724399874,343843998,pool1ggx3akymhzl5d7r8jd4cc2nmnvl8t8gkrerd2cwvd0vc29lwje9
277,0,906335178294,3.9071871806026864e-05,8,0,0,pool1qz9qfxcxsc46vpgrrj868scmttjp3y9xaehyn6knknegcsphq6u
283,0,9019248294,3.874722104321229e-07,2,0,0,pool1xl2v9kjyzkmg0frw5ypznceug5tde9hjtg6fgn9u78dh2j59fhn
283,9,9016670679621,0.0003873614746026484,138,6518938366,463578767,pool1qu48wpwwarmkewhlwge9xs87sgt8gdnqq26nnre2v6c8up4fxwr
283,0,9007030507,3.8694732711799704e-07,1,0,0,pool169t8r0420lfrgr47c46kym3na4r2vqvla5wtahl7z9akgwr8eqf
283,2,900034203281,3.8665998633367226e-05,9,1449371218,351093712,pool1aasrxs9vpr97rjlqqwpp5gnju9tp9dgtsmqqvmsy8hryuuepvra
283,0,900018941241,3.866534296715406e-05,5,0,0,pool12pwp8hln0cjsxv0h2a0463qsakkhwetfhyqw7vzmpwd2jdj86n6
283,1,899336927830,3.863604326996308e-05,11,724081832,347681636,pool1rx2745qj65qrgcutmpydv9k3ld930puq52t7skcd3ennqh550zc
283,1,89859432002,3.8604140401758835e-06,13,724068646,340000000,pool1jcn4al6m62h0dyqcfpvar272dquuqjhfmsyc0uwpaum42l5xp4s
283,0,897344975,3.855046780502881e-08,2,0,0,pool1tg90tjqwmpzkkxpvs8nrl3383g9numsp380rzsmnp6d2jv525le
283,0,89679754285,3.852694979795019e-06,4,0,0,pool1teppcwacpq79a62luws4jaxqmhx5vxqu706362e9ya88wjwj5xx
283,5,8960905250691,0.0003849657589832462,102,3622221854,504111092,pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5
283,1,895831145926,3.848543281781049e-05,76,724207516,340000000,pool1je2n5smmnyn3lh92xrp8nepjyfp596ypga6pmdecwtcrcj9uvec
